Date;Seconds     ;Temperature (C)                         ;Specific Conductivity (µS/cm)           ;Total Dissolved Solids (ppt)            
16.06.2016 17:00;0;21.383;854.364;0.555
16.06.2016 17:15;900;21.367;851.014;0.553
16.06.2016 17:30;1800;21.396;853.316;0.555
16.06.2016 17:45;2700;21.413;856.672;0.557
16.06.2016 18:00;3600;21.422;856.223;0.557
16.06.2016 18:15;4500;21.41;854.186;0.555
16.06.2016 18:30;5400;21.432;857.162;0.557
16.06.2016 18:45;6300;21.397;852.85;0.554
16.06.2016 19:00;7200;21.453;858.762;0.558
16.06.2016 19:15;8100;21.441;855.872;0.556
16.06.2016 19:30;9000;21.457;859.532;0.559
16.06.2016 19:45;9900;21.479;862.228;0.56
16.06.2016 20:00;10800;21.427;858.993;0.558
16.06.2016 20:15;11700;21.431;858.659;0.558
16.06.2016 20:30;12600;21.381;852.834;0.554
16.06.2016 20:45;13500;21.399;856.649;0.557
16.06.2016 21:00;14400;21.469;866.285;0.563
16.06.2016 21:15;15300;21.424;862.058;0.56
16.06.2016 21:30;16200;21.452;866.042;0.563
16.06.2016 21:45;17100;21.432;866.038;0.563
16.06.2016 22:00;18000;21.449;867.247;0.564
16.06.2016 22:15;18900;21.374;859.61;0.559
16.06.2016 22:30;19800;21.417;865.94;0.563
16.06.2016 22:45;20700;21.4;865.938;0.563
16.06.2016 23:00;21600;21.391;865.517;0.563
16.06.2016 23:15;22500;21.385;866.158;0.563
16.06.2016 23:30;23400;21.377;866.04;0.563
16.06.2016 23:45;24300;21.381;867.768;0.564
17.06.2016 00:00;25200;21.322;862.84;0.561
17.06.2016 00:15;26100;21.317;864.077;0.562
17.06.2016 00:30;27000;21.331;865.479;0.563
17.06.2016 00:45;27900;21.317;865.269;0.562
17.06.2016 01:00;28800;21.321;866.539;0.563
17.06.2016 01:15;29700;21.306;866.056;0.563
17.06.2016 01:30;30600;21.294;865.788;0.563
17.06.2016 01:45;31500;21.295;866.52;0.563
17.06.2016 02:00;32400;21.281;866.4;0.563
